question,answer
Qual é a forma correta para Pec Deck Fly?,"Abra os braços e depois traga-os de volta juntos em frente ao peito.. Este exercício é considerado de nível Intermediário, e requer Máquina Pec Deck"
Como faço para fazer um(a) Biceps Martelo?,"Levante os pesos em direção aos ombros com as palmas voltadas para dentro e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Halteres"
Alternativas para Extensao de triceps,"Três alternativas para Extensao de triceps são Skull Crushers, Tricep Pushdown."
Você pode explicar como fazer um(a) Triceps Testa?,"Três alternativas para Triceps Testa são Tricep Extension, Tricep Pushdown."
Você pode explicar como fazer um(a) Russian Twist?,"Três alternativas para Russian Twist são Bicycle Crunches, Side Plank."
Como faço para executar um(a) Puxada Alta?,"Puxe a barra até o peito e depois solte lentamente.. Este exercício é considerado de nível Intermediário, e requer Máquina de Puxada na Barra"
Quais são algumas alternativas para Supino inclinado?,"Três alternativas para Supino inclinado são Supino Reto, Supino Reto Halter."
Alternativas para substituir Barra Fixa,"Três alternativas para Barra Fixa são Chin-Up, Puxada na Barra."
Alternativas para substituir Leg Press,"Três alternativas para Leg Press são Agachamento, Agachamento no Hack."
Alternativas para Push-Up,"Três alternativas para Push-Up são Push-Up Inclinado, Push-Up Declinado."
Como faço para fazer um(a) Plank?,"Mantenha a posição de prancha com o corpo em linha reta da cabeça aos calcanhares.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal"
Você pode explicar como fazer um(a) Remada Sentada?,"Três alternativas para Remada Sentada são Remada Curvada, Remada em T."
Quais músculos são trabalhados por um(a) Supino inclinado?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Você pode explicar como fazer um(a) Biceps Martelo?,"Três alternativas para Biceps Martelo são Biceps martelo, Biceps na corda (utlizar maquina de cabos)."
Você pode explicar como fazer um(a) Agachamento?,"Três alternativas para Agachamento são Agachamento Frontal, Agachamento com Halter."
Quais são algumas alternativas para Good Morning?,"Três alternativas para Good Morning são Deadlift Romeno, Back Extension."
Quais são algumas alternativas para Afundo?,"Três alternativas para Afundo são Avanco , Agachamento Unilateral Bulgaro."
Como faço para fazer um(a) Deadlift Romeno?,"Abaixe o peso dobrando os quadris e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Como faço para executar um(a) Triceps na polia?,"Puxe a alça para baixo até os quadris e depois solte novamente.. Este exercício é considerado de nível Iniciante, e requer Máquina de Cabos"
Quais músculos o(a) Supino Reto Halter trabalha?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Quais músculos o(a) Russian Twist trabalha?,"Músculo principal: Core, músculos secundários: Oblíquos."
Você pode explicar como fazer um(a) Elevacao lateral?,"Três alternativas para Elevacao lateral são Shrugs, Lateral Raise."
Qual é a forma correta para Calf Raise?,"Levante os calcanhares do chão e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal, Halteres"
Como faço para fazer um(a) Good Morning?,"Dobre os quadris mantendo as costas retas e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Como faço para executar um(a) Agachamento?,"Fique com os pés afastados na largura dos ombros, abaixe os quadris para trás e para baixo e depois levante novamente.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal, Barra"
Alternativas para substituir Pec Deck Fly,"Três alternativas para Pec Deck Fly são Chest Fly, Cable Crossover."
Você pode explicar como fazer um(a) Elevacao de Pernas (Barra)?,"Três alternativas para Elevacao de Pernas (Barra) são Elevacao de Joelhos, Elevacao de Quadril."
Quais músculos são trabalhados por um(a) Puxada Alta?,"Músculo principal: Ombros, músculos secundários: Trapezios."
Quais são algumas alternativas para Remada Inclinada?,"Três alternativas para Remada Inclinada são Remada em T, Remada Serrote Unilateral."
Você pode explicar como fazer um(a) Dumbbell Pullover?,"Três alternativas para Dumbbell Pullover são Straight Arm Pulldown, Cable Pullover."
Qual é a forma correta para Cadeira Flexora?,"Flexione o peso em direção aos glúteos e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Máquina de Leg Curl"
Como faço para fazer um(a) Mountain Climbers?,"Alterne trazendo os joelhos para o peito na posição de prancha.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal"
Como faço para executar um(a) Biceps Martelo?,"Levante os pesos em direção aos ombros com as palmas voltadas para dentro e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Halteres"
Quais são algumas alternativas para Overhead Press?,"Três alternativas para Overhead Press são Arnold Press, Dumbbell Shoulder Press."
Quais músculos são trabalhados por um(a) Russian Twist?,"Músculo principal: Core, músculos secundários: Oblíquos."
Qual é a forma correta para Supino Reto Halter?,"Pressione os pesos acima da cabeça a partir da altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Halteres"
Quais músculos o(a) Puxada Alta trabalha?,"Músculo principal: Costas, músculos secundários: Bíceps, Ombros."
Quais músculos são trabalhados por um(a) Overhead Press?,"Músculo principal: Ombros, músculos secundários: Tríceps."
Como faço para fazer um(a) Afundo?,"Dê um passo à frente, abaixe os quadris até que ambos os joelhos estejam dobrados em 90 graus e depois volte a ficar de pé.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal, Halteres"
Quais músculos o(a) Extensao de triceps trabalha?,"Músculo principal: Tríceps, músculos secundários: Nenhum."
Quais músculos são trabalhados por um(a) Agachamento Frontal?,"Músculo principal: Pernas, músculos secundários: Glúteos, Core."
Alternativas para Remada Inclinada,"Três alternativas para Remada Inclinada são Remada em T, Remada Serrote Unilateral."
Quais músculos são trabalhados por um(a) Triceps na polia?,"Músculo principal: Tríceps, músculos secundários: Nenhum."
Qual é a forma correta para Face pull?,"Rear Delt Fly, Band Pull Apart. Este exercício é considerado de nível Intermediário, e requer Puxe as alças em direção ao rosto e depois solte novamente."
Você pode explicar como fazer um(a) Supino Reto?,"Três alternativas para Supino Reto são Press com Halteres, Bench Press Inclinado."
Quais são algumas alternativas para Rosca Direta?,"Três alternativas para Rosca Direta são Biceps martelo, Biceps na corda (utlizar maquina de cabos)."
Como faço para executar um(a) Calf Raise?,"Levante os calcanhares do chão e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal, Halteres"
Você pode explicar como fazer um(a) Good Morning?,"Três alternativas para Good Morning são Deadlift Romeno, Back Extension."
Quais músculos são trabalhados por um(a) Cable Crossover?,"Músculo principal: Peito, músculos secundários: Ombros."
Quais músculos são trabalhados por um(a) Cadeira Flexora?,"Músculo principal: Isquiotibiais, músculos secundários: Panturrilhas."
Alternativas para substituir Calf Raise,"Três alternativas para Calf Raise são Calf Raise Sentado, Calf Raise com Peso."
Quais são algumas alternativas para Cable Crossover?,"Três alternativas para Cable Crossover são Chest Fly, Pec Deck Fly."
Alternativas para Rosca Direta,"Três alternativas para Rosca Direta são Biceps martelo, Biceps na corda (utlizar maquina de cabos)."
Como faço para executar um(a) Overhead Press?,"Pressione o peso acima da cabeça a partir da altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Quais músculos o(a) Plank trabalha?,"Músculo principal: Core, músculos secundários: Ombros, Costas."
Quais músculos são trabalhados por um(a) Supino Reto Halter?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Alternativas para substituir Rosca Direta,"Três alternativas para Rosca Direta são Biceps martelo, Biceps na corda (utlizar maquina de cabos)."
Como faço para executar um(a) Afundo?,"Dê um passo à frente, abaixe os quadris até que ambos os joelhos estejam dobrados em 90 graus e depois volte a ficar de pé.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal, Halteres"
Como faço para executar um(a) Chest Press?,"Pressione as alças para longe do peito e depois solte novamente.. Este exercício é considerado de nível Intermediário, e requer Máquina"
Você pode explicar como fazer um(a) Afundo?,"Três alternativas para Afundo são Avanco , Agachamento Unilateral Bulgaro."
Alternativas para Supino Reto,"Três alternativas para Supino Reto são Press com Halteres, Bench Press Inclinado."
Como faço para executar um(a) Supino Reto Halter?,"Pressione os pesos acima da cabeça a partir da altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Halteres"
Quais são algumas alternativas para Face pull?,Três alternativas para Face pull são nan.
Quais músculos o(a) Deadlift trabalha?,"Músculo principal: Costas, músculos secundários: Glúteos, Isquiotibiais."
Quais músculos o(a) Agachamento no Hack trabalha?,"Músculo principal: Pernas, músculos secundários: Glúteos, Panturrilhas."
Quais são algumas alternativas para Puxada Alta?,"Três alternativas para Puxada Alta são Front Raise, Bent Over Lateral Raise."
Como faço para fazer um(a) Triceps Testa?,"Abaixe o peso em direção à testa e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Quais músculos são trabalhados por um(a) Dumbbell Pullover?,"Músculo principal: Peito, músculos secundários: Latíssimos, Tríceps."
Alternativas para substituir Cadeira Flexora,"Três alternativas para Cadeira Flexora são Deadlift Romeno, Glute Bridge."
Alternativas para substituir Chest Press,"Três alternativas para Chest Press são Supino Reto, Supino Reto Halter."
Quais são algumas alternativas para Biceps Martelo?,"Três alternativas para Biceps Martelo são Biceps martelo, Biceps na corda (utlizar maquina de cabos)."
Você pode explicar como fazer um(a) Agachamento com Halter?,"Três alternativas para Agachamento com Halter são Agachamento, Agachamento Frontal."
Alternativas para Agachamento com Halter,"Três alternativas para Agachamento com Halter são Agachamento, Agachamento Frontal."
Quais músculos o(a) Chest Press trabalha?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Como faço para executar um(a) Supino Reto?,"Deite-se em um banco, abaixe a barra até o peito e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Alternativas para substituir Supino inclinado,"Três alternativas para Supino inclinado são Supino Reto, Supino Reto Halter."
Quais músculos o(a) Elevacao de Pernas (Barra) trabalha?,"Músculo principal: Core, músculos secundários: Flexores do Quadril."
Qual é a forma correta para Triceps na polia?,"Puxe a alça para baixo até os quadris e depois solte novamente.. Este exercício é considerado de nível Iniciante, e requer Máquina de Cabos"
Quais são algumas alternativas para Remada Sentada?,"Três alternativas para Remada Sentada são Remada Curvada, Remada em T."
Como faço para executar um(a) Elevacao Pelvica?,"Levante os quadris em direção ao teto e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Você pode explicar como fazer um(a) Pec Deck Fly?,"Três alternativas para Pec Deck Fly são Chest Fly, Cable Crossover."
Qual é a forma correta para Deadlift Romeno?,"Abaixe o peso dobrando os quadris e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Como faço para executar um(a) Plank?,"Mantenha a posição de prancha com o corpo em linha reta da cabeça aos calcanhares.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal"
Alternativas para substituir Remada Inclinada,"Três alternativas para Remada Inclinada são Remada em T, Remada Serrote Unilateral."
Alternativas para substituir Biceps Martelo,"Três alternativas para Biceps Martelo são Biceps martelo, Biceps na corda (utlizar maquina de cabos)."
Quais músculos são trabalhados por um(a) Extensao de triceps?,"Músculo principal: Tríceps, músculos secundários: Nenhum."
Você pode explicar como fazer um(a) Puxada Alta?,"Três alternativas para Puxada Alta são Barra Fixa, Remada Sentada."
Qual é a forma correta para Leg Press?,"Empurre a plataforma com as pernas e depois volte lentamente à posição inicial.. Este exercício é considerado de nível Intermediário, e requer Máquina de Leg Press"
Alternativas para substituir Elevacao lateral,"Três alternativas para Elevacao lateral são Shrugs, Lateral Raise."
Quais músculos são trabalhados por um(a) Push-Up?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Quais músculos são trabalhados por um(a) Elevacao Pelvica?,"Músculo principal: Glúteos, músculos secundários: Isquiotibiais, Core."
Quais músculos são trabalhados por um(a) Rosca Direta?,"Músculo principal: Bíceps, músculos secundários: Antebraços."
Como faço para fazer um(a) Russian Twist?,"Sente-se com os pés fora do chão, torça o tronco de um lado para o outro.. Este exercício é considerado de nível Intermediário, e requer Peso Corporal, Medicine Ball"
Quais músculos são trabalhados por um(a) Calf Raise?,"Músculo principal: Panturrilhas, músculos secundários: Nenhum."
Quais músculos o(a) Cadeira Flexora trabalha?,"Músculo principal: Isquiotibiais, músculos secundários: Panturrilhas."
Alternativas para Elevacao de Pernas (Barra),"Três alternativas para Elevacao de Pernas (Barra) são Elevacao de Joelhos, Elevacao de Quadril."
Qual é a forma correta para Supino Reto?,"Deite-se em um banco, abaixe a barra até o peito e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Qual é a forma correta para Chest Fly?,"Deite-se em um banco, abra os braços e depois traga-os de volta juntos.. Este exercício é considerado de nível Intermediário, e requer Halteres, Máquina de Cabos"
Qual é a forma correta para Triceps Testa?,"Abaixe o peso em direção à testa e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Alternativas para substituir Agachamento,"Três alternativas para Agachamento são Agachamento Frontal, Agachamento com Halter."
Alternativas para substituir Supino Reto Halter,"Três alternativas para Supino Reto Halter são Supino Reto, Supino inclinado."
Como faço para executar um(a) Puxada Alta?,"Levante os pesos até a altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Halteres"
Quais são algumas alternativas para Chest Press?,"Três alternativas para Chest Press são Supino Reto, Supino Reto Halter."
Alternativas para substituir Plank,"Três alternativas para Plank são Side Plank, Mountain Climbers."
Alternativas para substituir Dumbbell Pullover,"Três alternativas para Dumbbell Pullover são Straight Arm Pulldown, Cable Pullover."
Como faço para fazer um(a) Leg Press?,"Empurre a plataforma com as pernas e depois volte lentamente à posição inicial.. Este exercício é considerado de nível Intermediário, e requer Máquina de Leg Press"
Qual é a forma correta para Mountain Climbers?,"Alterne trazendo os joelhos para o peito na posição de prancha.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal"
Alternativas para substituir Puxada Alta,"Três alternativas para Puxada Alta são Barra Fixa, Remada Sentada."
Quais são algumas alternativas para Agachamento no Hack?,"Três alternativas para Agachamento no Hack são Agachamento, Leg Press."
Qual é a forma correta para Push-Up?,"Comece na posição de prancha, abaixe o corpo até que o peito quase toque o chão e depois levante novamente.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal"
Como faço para executar um(a) Elevacao lateral?,"Levante os pesos para os lados até a altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Halteres"
Como faço para fazer um(a) Agachamento Frontal?,"Segure a barra na frente dos ombros, abaixe para agachar e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Quais músculos o(a) Pec Deck Fly trabalha?,"Músculo principal: Peito, músculos secundários: Ombros."
Qual é a forma correta para Agachamento no Hack?,"Agache-se com as costas apoiadas e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Máquina de Hack Squat"
Alternativas para substituir Triceps na polia,"Três alternativas para Triceps na polia são Tricep Extension, Skull Crushers."
Alternativas para substituir Mountain Climbers,"Três alternativas para Mountain Climbers são Plank, Bicycle Crunches."
Como faço para fazer um(a) Calf Raise?,"Levante os calcanhares do chão e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal, Halteres"
Qual é a forma correta para Dumbbell Pullover?,"Deite-se em um banco, abaixe o halter atrás da cabeça e depois traga-o de volta sobre o peito.. Este exercício é considerado de nível Intermediário, e requer Halteres"
Quais músculos são trabalhados por um(a) Face pull?,"Músculo principal: Parte Superior das Costas, músculos secundários: Máquina de Cabos."
Quais músculos o(a) Agachamento trabalha?,"Músculo principal: Pernas, músculos secundários: Glúteos, Isquiotibiais."
Quais músculos são trabalhados por um(a) Plank?,"Músculo principal: Core, músculos secundários: Ombros, Costas."
Alternativas para Agachamento,"Três alternativas para Agachamento são Agachamento Frontal, Agachamento com Halter."
Quais músculos o(a) Overhead Press trabalha?,"Músculo principal: Ombros, músculos secundários: Tríceps."
Como faço para executar um(a) Push-Up?,"Comece na posição de prancha, abaixe o corpo até que o peito quase toque o chão e depois levante novamente.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal"
Quais músculos o(a) Triceps Testa trabalha?,"Músculo principal: Tríceps, músculos secundários: Nenhum."
Quais músculos o(a) Elevacao Pelvica trabalha?,"Músculo principal: Glúteos, músculos secundários: Isquiotibiais, Core."
Quais são algumas alternativas para Pec Deck Fly?,"Três alternativas para Pec Deck Fly são Chest Fly, Cable Crossover."
Alternativas para Face pull,Três alternativas para Face pull são nan.
Quais são algumas alternativas para Agachamento Frontal?,"Três alternativas para Agachamento Frontal são Agachamento, Agachamento com Halter."
Alternativas para Triceps Testa,"Três alternativas para Triceps Testa são Tricep Extension, Tricep Pushdown."
Alternativas para Cable Crossover,"Três alternativas para Cable Crossover são Chest Fly, Pec Deck Fly."
Você pode explicar como fazer um(a) Supino Reto Halter?,"Três alternativas para Supino Reto Halter são Supino Reto, Supino inclinado."
Como faço para executar um(a) Elevacao de Pernas (Barra)?,"Levante as pernas em direção ao peito e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra de Pull-Up"
Como faço para fazer um(a) Deadlift?,"Fique com os pés afastados na largura do quadril, dobre os quadris e joelhos para abaixar e levantar a barra.. Este exercício é considerado de nível Intermediário, e requer Barra"
Como faço para fazer um(a) Puxada Alta?,"Levante os pesos até a altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Halteres"
Alternativas para substituir Russian Twist,"Três alternativas para Russian Twist são Bicycle Crunches, Side Plank."
Quais músculos o(a) Supino Reto trabalha?,"Músculo principal: Peito, músculos secundários: Tríceps, Ombros."
Qual é a forma correta para Plank?,"Mantenha a posição de prancha com o corpo em linha reta da cabeça aos calcanhares.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal"
Quais músculos são trabalhados por um(a) Agachamento com Halter?,"Músculo principal: Pernas, músculos secundários: Glúteos, Core."
Qual é a forma correta para Extensao de triceps?,"Estenda os braços acima da cabeça e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Halteres, Barra"
Qual é a forma correta para Deadlift?,"Fique com os pés afastados na largura do quadril, dobre os quadris e joelhos para abaixar e levantar a barra.. Este exercício é considerado de nível Intermediário, e requer Barra"
Como faço para executar um(a) Russian Twist?,"Sente-se com os pés fora do chão, torça o tronco de um lado para o outro.. Este exercício é considerado de nível Intermediário, e requer Peso Corporal, Medicine Ball"
Quais músculos o(a) Rosca Direta trabalha?,"Músculo principal: Bíceps, músculos secundários: Antebraços."
Você pode explicar como fazer um(a) Chest Press?,"Três alternativas para Chest Press são Supino Reto, Supino Reto Halter."
Quais são algumas alternativas para Agachamento?,"Três alternativas para Agachamento são Agachamento Frontal, Agachamento com Halter."
Como faço para executar um(a) Face pull?,"Rear Delt Fly, Band Pull Apart. Este exercício é considerado de nível Intermediário, e requer Puxe as alças em direção ao rosto e depois solte novamente."
Alternativas para Puxada Alta,"Três alternativas para Puxada Alta são Front Raise, Bent Over Lateral Raise."
Você pode explicar como fazer um(a) Agachamento no Hack?,"Três alternativas para Agachamento no Hack são Agachamento, Leg Press."
Quais músculos são trabalhados por um(a) Agachamento?,"Músculo principal: Pernas, músculos secundários: Glúteos, Isquiotibiais."
Quais músculos o(a) Cable Crossover trabalha?,"Músculo principal: Peito, músculos secundários: Ombros."
Alternativas para substituir Extensao de triceps,"Três alternativas para Extensao de triceps são Skull Crushers, Tricep Pushdown."
Como faço para fazer um(a) Agachamento com Halter?,"Segure um halter no peito, abaixe para agachar e depois levante novamente.. Este exercício é considerado de nível Iniciante, e requer Halter"
Como faço para executar um(a) Cadeira Flexora?,"Flexione o peso em direção aos glúteos e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Máquina de Leg Curl"
Quais são algumas alternativas para Barra Fixa?,"Três alternativas para Barra Fixa são Chin-Up, Puxada na Barra."
Você pode explicar como fazer um(a) Rosca Direta?,"Três alternativas para Rosca Direta são Biceps martelo, Biceps na corda (utlizar maquina de cabos)."
Como faço para fazer um(a) Agachamento?,"Fique com os pés afastados na largura dos ombros, abaixe os quadris para trás e para baixo e depois levante novamente.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal, Barra"
Como faço para fazer um(a) Barra Fixa?,"Pendure-se em uma barra, puxe o corpo até que o queixo fique acima da barra, depois desça.. Este exercício é considerado de nível Intermediário, e requer Barra de Pull-Up"
Alternativas para Barra Fixa,"Três alternativas para Barra Fixa são Chin-Up, Puxada na Barra."
Você pode explicar como fazer um(a) Cadeira Flexora?,"Três alternativas para Cadeira Flexora são Deadlift Romeno, Glute Bridge."
Quais músculos o(a) Mountain Climbers trabalha?,"Músculo principal: Core, músculos secundários: Ombros, Pernas."
Alternativas para Chest Press,"Três alternativas para Chest Press são Supino Reto, Supino Reto Halter."
Como faço para fazer um(a) Elevacao de Pernas (Barra)?,"Levante as pernas em direção ao peito e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra de Pull-Up"
Qual é a forma correta para Agachamento?,"Fique com os pés afastados na largura dos ombros, abaixe os quadris para trás e para baixo e depois levante novamente.. Este exercício é considerado de nível Iniciante, e requer Peso Corporal, Barra"
Alternativas para Overhead Press,"Três alternativas para Overhead Press são Arnold Press, Dumbbell Shoulder Press."
Alternativas para Plank,"Três alternativas para Plank são Side Plank, Mountain Climbers."
Você pode explicar como fazer um(a) Push-Up?,"Três alternativas para Push-Up são Push-Up Inclinado, Push-Up Declinado."
Quais são algumas alternativas para Triceps na polia?,"Três alternativas para Triceps na polia são Tricep Extension, Skull Crushers."
Como faço para executar um(a) Extensao de triceps?,"Estenda os braços acima da cabeça e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Halteres, Barra"
Alternativas para substituir Cable Crossover,"Três alternativas para Cable Crossover são Chest Fly, Pec Deck Fly."
Quais são algumas alternativas para Deadlift Romeno?,"Três alternativas para Deadlift Romeno são Deadlift, Good Morning."
Alternativas para Supino Reto Halter,"Três alternativas para Supino Reto Halter são Supino Reto, Supino inclinado."
Qual é a forma correta para Elevacao lateral?,"Levante os pesos para os lados até a altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Halteres"
Quais são algumas alternativas para Agachamento com Halter?,"Três alternativas para Agachamento com Halter são Agachamento, Agachamento Frontal."
Qual é a forma correta para Elevacao Pelvica?,"Levante os quadris em direção ao teto e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra"
Como faço para executar um(a) Agachamento com Halter?,"Segure um halter no peito, abaixe para agachar e depois levante novamente.. Este exercício é considerado de nível Iniciante, e requer Halter"
Você pode explicar como fazer um(a) Calf Raise?,"Três alternativas para Calf Raise são Calf Raise Sentado, Calf Raise com Peso."
Quais músculos o(a) Leg Press trabalha?,"Músculo principal: Pernas, músculos secundários: Glúteos, Isquiotibiais."
Como faço para executar um(a) Cable Crossover?,"Puxe as alças juntas em frente ao peito e depois solte novamente.. Este exercício é considerado de nível Intermediário, e requer Máquina de Cabos"
Quais músculos são trabalhados por um(a) Leg Press?,"Músculo principal: Pernas, músculos secundários: Glúteos, Isquiotibiais."
Quais músculos o(a) Remada Inclinada trabalha?,"Músculo principal: Costas, músculos secundários: Bíceps, Ombros."
Como faço para fazer um(a) Rosca Direta?,"Levante os pesos em direção aos ombros e depois abaixe novamente.. Este exercício é considerado de nível Iniciante, e requer Halteres, Barra"
Quais são algumas alternativas para Elevacao de Pernas (Barra)?,"Três alternativas para Elevacao de Pernas (Barra) são Elevacao de Joelhos, Elevacao de Quadril."
Alternativas para Dumbbell Pullover,"Três alternativas para Dumbbell Pullover são Straight Arm Pulldown, Cable Pullover."
Como faço para executar um(a) Remada Inclinada?,"Dobre os quadris, mantenha as costas retas, puxe o peso em direção ao tronco e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Como faço para fazer um(a) Pec Deck Fly?,"Abra os braços e depois traga-os de volta juntos em frente ao peito.. Este exercício é considerado de nível Intermediário, e requer Máquina Pec Deck"
Alternativas para Calf Raise,"Três alternativas para Calf Raise são Calf Raise Sentado, Calf Raise com Peso."
Alternativas para Supino inclinado,"Três alternativas para Supino inclinado são Supino Reto, Supino Reto Halter."
Quais músculos são trabalhados por um(a) Pec Deck Fly?,"Músculo principal: Peito, músculos secundários: Ombros."
Como faço para executar um(a) Triceps Testa?,"Abaixe o peso em direção à testa e depois levante novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Quais músculos o(a) Chest Fly trabalha?,"Músculo principal: Peito, músculos secundários: Ombros."
Como faço para fazer um(a) Overhead Press?,"Pressione o peso acima da cabeça a partir da altura dos ombros e depois abaixe novamente.. Este exercício é considerado de nível Intermediário, e requer Barra, Halteres"
Quais músculos o(a) Barra Fixa trabalha?,"Músculo principal: Costas, músculos secundários: Bíceps, Ombros."
Alternativas para Triceps na polia,"Três alternativas para Triceps na polia são Tricep Extension, Skull Crushers."
Como faço para executar um(a) Triceps na polia?,"Puxe a alça para baixo até os quadris e depois solte novamente.. Este exercício é considerado de nível Iniciante, e requer Máquina de Cabos"
